code	name	link
1 12 975 11 32 4	Жидкие отходы смыва нечистот при уборке вольеров	/fkko/11297511324/
1 12 980 00 00 0	Отходы разведения сельскохозяйственных животных и птиц в смеси	/fkko/11298000000/
1 12 981 11 33 4	Смесь навоза сельскохозяйственных животных и птичьего помета свежих малоопасная	/fkko/11298111334/
1 12 990 00 00 0	Отходы содержания диких животных в неволе	/fkko/11299000000/
1 12 991 11 33 4	Навоз диких животных, содержащихся в неволе, свежий	/fkko/11299111334/
1 12 991 12 20 5	Навоз диких животных, содержащихся в неволе, перепревший	/fkko/11299112205/
1 12 992 11 30 4	Отходы подстилки из древесных опилок при содержании диких животных в неволе	/fkko/11299211304/
1 12 998 11 20 4	Отходы уборки клеток и вольеров для содержания в неволе диких животных и птиц	/fkko/11299811204/
1 14 000 00 00 0	Отходы при прочих работах и услугах в сельском хозяйстве	/fkko/11400000000/
1 14 100 00 00 0	Отходы пестицидов и агрохимикатов	/fkko/11410000000/
1 14 110 00 00 0	Отходы минеральных удобрений, утративших потребительские свойства	/fkko/11411000000/
1 14 111 11 49 4	Удобрения минеральные азотные, утратившие потребительские свойства	/fkko/11411111494/
1 14 120 00 00 0	Отходы пестицидов, утративших потребительские свойства	/fkko/11412000000/
1 14 121 00 00 0	Отходы гербицидов, утративших потребительские свойства	/fkko/11412100000/
1 14 121 65 31 3	Гербицид на основе флурохлоридона, утративший потребительские свойства	/fkko/11412165313/
1 14 121 66 31 3	Гербицид на основе диметахлора, утративший потребительские свойства	/fkko/11412166313/
1 14 122 00 00 0	Отходы инсектицидов, утративших потребительские свойства	/fkko/11412200000/
1 14 122 91 29 2	Гексахлорановые дымовые шашки, утратившие потребительские свойства	/fkko/11412291292/
1 14 123 00 00 0	Отходы фунгицидов, утративших потребительские свойства	/fkko/11412300000/
1 14 123 11 41 2	Фундазол, утративший потребительские свойства	/fkko/11412311412/
1 14 124 00 00 0	Отходы инсектофунгицидов, утративших потребительские свойства	/fkko/11412400000/
1 14 128 00 00 0	Смеси пестицидов и агрохимикатов, утративших потребительские свойства	/fkko/11412800000/
1 14 128 11 30 2	Смесь жидких пестицидов 2 - 3 классов опасности, пригодная для термического обезвреживания	/fkko/11412811302/
1 14 128 12 40 2	Смесь твердых пестицидов 2 - 3 классов опасности, пригодная для термического обезвреживания	/fkko/11412812402/
1 14 128 81 71 1	Пестициды на основе хлорорганических соединений в смеси, содержащие грунт и остатки упаковки	/fkko/11412881711/
1 14 128 91 71 1	Отходы средств защиты растений неустановленного состава в смеси, содержащие грунт и остатки упаковки	/fkko/11412891711/
1 14 140 00 00 0	Прочие отходы средств ухода за растениями	/fkko/11414000000/
1 14 141 00 00 0	Пестициды, запрещенные к использованию	/fkko/11414100000/
1 14 141 11 49 3	Гербицид симазин, запрещенный к использованию	/fkko/11414111493/
1 14 191 11 49 4	Отходы грунта, загрязненные гербицидом 2 класса опасности (содержание гербицида менее 3%)	/fkko/11419111494/
1 14 197 11 39 4	Жидкие отходы мойки полов объектов хранения средств защиты растений, содержащие нефтепродукты (содержание нефтепродуктов менее 15%)	/fkko/11419711394/
1 14 200 00 00 0	Корма для животных, утратившие потребительские свойства	/fkko/11420000000/
1 14 210 00 00 0	Корма растительного происхождения, утратившие потребительские свойства	/fkko/11421000000/
1 14 211 11 49 5	Фуражное зерно, утратившее потребительские свойства	/fkko/11421111495/
1 14 211 21 39 5	Отходы силоса	/fkko/11421121395/
1 14 218 11 20 5	Смесь кормов растительного происхождения, утративших потребительские свойства	/fkko/11421811205/
1 14 219 11 39 5	Остатки кормов с раздаточных столов коровников, утратившие потребительские свойства	/fkko/11421911395/
1 14 600 00 00 0	Отходы объектов ветеринарной защиты	/fkko/11460000000/
1 14 611 11 39 4	Отходы очистки дезинфекционных барьеров животноводческих, птицеводческих и звероводческих предприятий	/fkko/11461111394/
1 50 000 00 00 0	ОТХОДЫ ПРИ ЛЕСОВОДСТВЕ И ЛЕСОЗАГОТОВКАХ	/fkko/15000000000/
1 51 000 00 00 0	Отходы при лесоводстве	/fkko/15100000000/
1 52 000 00 00 0	Отходы при лесозаготовках	/fkko/15200000000/
1 52 100 00 00 0	Отходы производства круглых лесоматериалов	/fkko/15210000000/
1 52 110 00 00 0	Отходы древесины от лесоразработок	/fkko/15211000000/
1 52 110 01 21 5	Отходы сучьев, ветвей, вершинок от лесоразработок	/fkko/15211001215/
1 52 110 02 21 5	Отходы корчевания пней	/fkko/15211002215/
1 52 110 03 23 5	Зелень древесная	/fkko/15211003235/
1 52 110 04 21 5	Отходы раскряжевки	/fkko/15211004215/
1 54 100 00 00 0	Прочие отходы при лесоводстве и лесозаготовках	/fkko/15410000000/
1 54 110 01 21 5	Отходы малоценной древесины (хворост, валежник, обломки стволов)	/fkko/15411001215/
1 70 000 00 00 0	ОТХОДЫ ПРИ РЫБОЛОВСТВЕ, РЫБОВОДСТВЕ	/fkko/17000000000/
1 71 100 00 00 0	Отходы при рыболовстве	/fkko/17110000000/
1 71 150 00 00 0	Отходы первичной обработки кораллов, раковин и панцирей моллюсков, ракообразных, иглокожих	/fkko/17115000000/
1 71 152 11 20 5	Раковины рапан при их обработке	/fkko/17115211205/
1 71 158 11 49 5	Отходы переработки цист рачка артемии	/fkko/17115811495/
1 79 000 00 00 0	Отходы прочих видов деятельности при рыболовстве и рыбоводстве	/fkko/17900000000/
1 79 351 11 61 4	Отходы сетей и сетепошивочного материала из полиамидного волокна	/fkko/17935111614/
